Corp,corp_code,Securities,sec_code,Bank,bank_code,en_caption,category_code,parent_code
A. CURRENT ASSETS,BS_100,A. CURRENT ASSETS,BS_100,,,(Balance sheet) A. CURRENT ASSETS,BS_100,BS_100
,,I. Financial Assets,BS_110,,,(Balance sheet) (Securities) Financial Assets,BS_101,BS_101
I. Cash and cash equivalents,BS_110,1. Cash and cash equivalents,BS_111,,,(Balance sheet) Cash and cash equivalents,BS_110,BS_110
Cash,BS_111,1.1. Cash,BS_111.1,"Cash, precious metals, gemstones",BS_110,(Balance sheet) Cash,BS_111,BS_110
,,,,Deposits at the Central Bank,BS_120,(Balance sheet) (Bank) Deposits at the Central Bank,BS_112,BS_110
Cash equivalents,BS_112,1.2. Cash equivalents,BS_111.2,,,(Balance sheet) Cash equivalents,BS_113,BS_110
,,,,Deposits and loans to other credit institutions,BS_130,(Balance sheet) (Bank) Deposits and loans to other credit institutions,BS_114,BS_110
,,,,Deposits at other credit institutions,BS_131,(Balance sheet) (Bank) Deposits at other credit institutions,BS_115,BS_110
,,,,Loans to other credit institutions,BS_132,(Balance sheet) (Bank) Loans to other credit institutions,BS_116,BS_110
,,,,Provision for risks on loans to other credit institutions,BS_139,(Balance sheet) (Bank) Provision for risks on loans to other credit institutions,BS_117,BS_110
,,5. Available-for-sale financial assets (AFS),BS_115,,,(Balance sheet) (Securities) Available-for-sale financial assets (AFS),BS_119,BS_110
II. Short-term financial investments,BS_120,,,,,(Balance sheet) Short-term financial investments,BS_120,BS_120
Trading securities,BS_121,2. Financial assets at fair value through profit or loss (FVTPL),BS_112,Trading securities,BS_140,(Balance sheet) Trading securities,BS_121,BS_121
,,,,Trading securities,BS_141,(Balance sheet) (Bank) Total Trading securities,BS_122,BS_121
Provision for decline in value of trading securities,BS_122,6. Provision for impairment of financial assets and collateral,BS_116,Provision for devaluation of trading securities,BS_149,(Balance sheet) Provision for devaluation of trading securities,BS_123,BS_121
,,,,Derivative financial instruments and other financial assets,BS_150,(Balance sheet) (Bank) Derivative financial instruments and other financial assets,BS_124,BS_121
,,,,Loans to customers,BS_160,(Balance sheet) (Bank) Loans to customers,BS_125,BS_125
,,,,Loans to customers,BS_161,(Balance sheet) (Bank) Total Loans to customers,BS_126,BS_125
,,,,Provision for risks on loans to customers,BS_169,(Balance sheet) (Bank) Provision for risks on loans to customers,BS_127,BS_125
,,,,Investment securities,BS_170,(Balance sheet) (Bank) Investment securities,BS_128,BS_120
,,,,Available-for-sale investment securities,BS_171,(Balance sheet) (Bank) Available-for-sale investment securities,BS_129,BS_120
Held-to-maturity investments,BS_123,3. Held-to-maturity investments (HTM),BS_113,Held-to-maturity investment securities,BS_172,(Balance sheet) Held-to-maturity investment (HTM) short-terms,BS_130,BS_120
,,,,Provision for devaluation of investment securities,BS_179,(Balance sheet) (Bank) Provision for devaluation of investment securities,BS_131,BS_120
,,,,Debt purchasing activities,BS_180,(Balance sheet) (Bank) Debt purchasing activities,BS_132,BS_120
,,,,Debt purchases,BS_181,(Balance sheet) (Bank) Debt purchases,BS_133,BS_120
,,,,Provision for risks on debt purchasing activities,BS_189,(Balance sheet) (Bank) Provision for risks on debt purchasing activities,BS_134,BS_120
,,,,,BS_200,(Balance sheet) (Bank) Outstanding Credit Balance,BS_135,BS_135
III. Short-term receivables,BS_130,7. Receivables,BS_117,,,(Balance sheet) Short-term receivables,BS_140,BS_140
Trade receivables,BS_131,7.1. Receivables from sale of financial assets,BS_117.1,,,(Balance sheet) Trade receivables,BS_141,BS_141
,,7.2. Dividends and interest receivables from financial assets,BS_117.2,,,(Balance sheet) (Securities) Dividends and interest receivables from financial assets,BS_142,BS_142
,,7.2.1. Accrued dividends and interest due,BS_117.3,,,(Balance sheet) (Securities) Accrued dividends and interest due,BS_142.1,BS_142
,,7.2.2. Accrued dividends and interest not yet due,BS_117.4,,,(Balance sheet) (Securities) Accrued dividends and interest not yet due,BS_142.2,BS_142
Prepayments to suppliers (short-term),BS_132,Advances to suppliers,BS_118,,,(Balance sheet) Prepayments to suppliers (short-term),BS_145,BS_145
,,8. Receivables from securities services provided,BS_119,,,(Balance sheet) (Securities) Receivables from securities services provided,BS_146,BS_146
Intra-group receivables (short-term),BS_133,9. Internal receivables,BS_120,,,(Balance sheet) Internal receivables,BS_147,BS_147
Receivables under construction contract progress,BS_134,,,,,(Balance sheet) Receivables under construction contract progress,BS_148,BS_148
,,10. Receivables from securities transaction errors,BS_121,,,(Balance sheet) (Securities) Receivables from securities transaction errors,BS_149,BS_149
Short-term loan receivables,BS_135,4. Loans,BS_114,,,(Balance sheet) Short-term loan receivables,BS_150,BS_150
Other short-term receivables,BS_136,11. Other receivables,BS_122,,,(Balance sheet) Other short-term receivables,BS_151,BS_151
Provision for doubtful short-term receivables,BS_137,12. Provision for impairment of receivables (*),BS_129,,,(Balance sheet) Provision for doubtful short-term receivables,BS_152,BS_152
Missing assets pending resolution,BS_139,,,,,(Balance sheet) Missing assets pending resolution,BS_153,BS_153
IV. Inventories,BS_140,,,,,(Balance sheet) Inventories,BS_160,BS_160
Inventories,BS_141,,,,,(Balance sheet) Current Inventories,BS_161,BS_160
Provision for decline in value of inventories,BS_149,,,,,(Balance sheet) Provision for decline in value of inventories,BS_162,BS_160
V. Other current assets,BS_150,II. Other Current Assets,BS_130,,,(Balance sheet) Other current assets,BS_170,BS_170
